term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
examine la règle,abstract,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Examine la règle refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui,Examine la règle refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.
exception la,abstract,,fr,,,non,"Exception la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exception la hiérarchie,abstract,,fr,,,non,"Exception la hiérarchie est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exception markedness,abstract,,en,,,non,"Exception markedness is a concept used in the fields of linguistics, translation, or education."
exception markedness hierarchy,abstract,,en,,,non,"Exception markedness hierarchy is a concept used in the fields of linguistics, translation, or education."
exhibit difficulties,abstract,,fr,"In contrast, l1 french and l1 italian learners did not exhibit difficulties in reproducing the voicing patterns of english /s/ ~ /z/ neither word-medially nor word-finally, due to the existence of these sounds in their l1 (and despite differences in relative markedness for these two positions, especially considering that word-final /z/ does not exist in italian)","Exhibit difficulties refers to In contrast, l1 french and l1 italian learners did not exhibit difficulties in reproducing the voicing patterns of english /s/ ~ /z/ neither word-medially nor word-finally, due to the existence of these sounds in their l1 (and despite differences in relative markedness for these two positions, especially considering that word-final /z/ does not exist in italian).",oui,"Exhibit difficulties refers to In contrast, l1 french and l1 italian learners did not exhibit difficulties in reproducing the voicing patterns of english /s/ ~ /z/ neither word-medially nor word-finally, due to the existence of these sounds in their l1 (and despite differences in relative markedness for these two positions, especially considering that word-final /z/ does not exist in italian)."
exhibit difficulties reproducing,abstract,,fr,,,non,"Exhibit difficulties reproducing est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exhibit great,abstract,,fr,"We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position","Exhibit great refers to We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position.",oui,"Exhibit great refers to We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position."
exhibit great difficulty,abstract,,fr,"We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position","Exhibit great difficulty refers to We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position.",oui,"Exhibit great difficulty refers to We found that, due to the absence of phonemic /z/ in spanish, l1 spanish learners exhibit great difficulty in producing voiced realisations for /z/, and more so in the (more marked) word-final position than in the (less marked) word-medial position."
exist italian,abstract,,fr,,,non,"Exist italian est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exist italian finally,abstract,,en,,,non,"Exist italian finally is a concept used in the fields of linguistics, translation, or education."
existe una,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Existe una refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,Existe una refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
existe una relación,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,Existe una relación refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui,Existe una relación refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.
existence sounds,abstract,,en,,,non,"Existence sounds is a concept used in the fields of linguistics, translation, or education."
existence sounds l1,abstract,,fr,,,non,"Existence sounds l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
expectancy comprehension,abstract,,en,,,non,"Expectancy comprehension is a concept used in the fields of linguistics, translation, or education."
expectancy comprehension attention,abstract,,en,,,non,"Expectancy comprehension attention is a concept used in the fields of linguistics, translation, or education."
expectations based,abstract,,en,Acoustic analysis of periodicity and duration for target segments confirms expectations based on l1 transfer and on the markedness differential hypothesis,Expectations based refers to Acoustic analysis of periodicity and duration for target segments confirms expectations based on l1 transfer and on the markedness differential hypothesis.,oui,Expectations based refers to Acoustic analysis of periodicity and duration for target segments confirms expectations based on l1 transfer and on the markedness differential hypothesis.
expectations based l1,abstract,,en,,,non,"Expectations based l1 is a concept used in the fields of linguistics, translation, or education."
expectativa comprensión,abstract,,es,,,non,"Expectativa comprensión es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
expectativa comprensión atención,abstract,,es,,,non,"Expectativa comprensión atención es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
expected patterns,abstract,,en,"Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity","Expected patterns refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity.",oui,"Expected patterns refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity."
expected patterns periodicity,abstract,,en,,,non,"Expected patterns periodicity is a concept used in the fields of linguistics, translation, or education."
experience teachers,abstract,,en,,,non,"Experience teachers is a concept used in the fields of linguistics, translation, or education."
experience teachers final,abstract,,en,,,non,"Experience teachers final is a concept used in the fields of linguistics, translation, or education."
experiencia se,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Experiencia se refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,Experiencia se refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
experiencia se llevó,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Experiencia se llevó refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,Experiencia se llevó refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
explain unexpected,abstract,,fr,,,non,"Explain unexpected est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
explain unexpected patterns,abstract,,fr,,,non,"Explain unexpected patterns est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exploratoire la,abstract,,fr,,,non,"Exploratoire la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
exploratoire la prosodie,abstract,,es,,,non,"Exploratoire la prosodie es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
explore possibility,abstract,,fr,,,non,"Explore possibility est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
explore possibility evaluating,abstract,,en,,,non,"Explore possibility evaluating is a concept used in the fields of linguistics, translation, or education."
exposons les,abstract,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Exposons les refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui,"Exposons les refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar."
exposons les résultats,abstract,,fr,"Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar","Exposons les résultats refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar.",oui,"Exposons les résultats refers to Dans la présente étude, nous exposons les résultats d'une analyse comparative des traductions vers l'anglais et le français de deux contes de l'oeuvre historias de cronopios y de famas de l'écrivain argentin julio cortázar."
expriment des,abstract,,fr,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","Expriment des refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui,"Expriment des refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral."
expriment des idées,abstract,,fr,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","Expriment des idées refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui,"Expriment des idées refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral."
expérimental et,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Expérimental et refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui,"Expérimental et refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental."
expérimental et sa,abstract,,fr,,,non,"Expérimental et sa est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
expérimentales groupe,abstract,,fr,,,non,"Expérimentales groupe est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
expérimentales groupe test,abstract,,fr,,,non,"Expérimentales groupe test est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
expérimentation réalisée,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Expérimentation réalisée refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui,Expérimentation réalisée refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.
expérimentation réalisée dans,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Expérimentation réalisée dans refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui,Expérimentation réalisée dans refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.
extranjera en,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Extranjera en refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,Extranjera en refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
extranjera en el,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Extranjera en el refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,Extranjera en el refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
f0 et,abstract,,fr,Nous avons étudié notamment les valeurs de f0 et de durée à l’aide de l’algorithme de modélisation momel,F0 et refers to Nous avons étudié notamment les valeurs de f0 et de durée à l’aide de l’algorithme de modélisation momel.,oui,F0 et refers to Nous avons étudié notamment les valeurs de f0 et de durée à l’aide de l’algorithme de modélisation momel.
f0 et durée,abstract,,fr,,,non,"F0 et durée est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
facilement que,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Facilement que refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui,"Facilement que refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs."
facilement que les,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Facilement que les refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui,"Facilement que les refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs."
facilitate generation,abstract,,fr,,,non,"Facilitate generation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
facilitate generation linguistically,abstract,,fr,,,non,"Facilitate generation linguistically est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
factors including,abstract,,en,"This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody","Factors including refers to This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody.",oui,"Factors including refers to This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody."
factors including atr,abstract,,en,,,non,"Factors including atr is a concept used in the fields of linguistics, translation, or education."
famas argentinian,abstract,,fr,,,non,"Famas argentinian est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
famas argentinian writer,abstract,,en,,,non,"Famas argentinian writer is a concept used in the fields of linguistics, translation, or education."
famas del,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,Famas del refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,Famas del refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
famas del escritor,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,Famas del escritor refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui,Famas del escritor refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.
famas écrivain,abstract,,fr,,,non,"Famas écrivain est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
famas écrivain argentin,abstract,,fr,,,non,"Famas écrivain argentin est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
fases enseñanza,abstract,,es,,,non,"Fases enseñanza es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
fases enseñanza aprendizaje,abstract,,es,,,non,"Fases enseñanza aprendizaje es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
façon dont,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Façon dont refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Façon dont refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
façon dont ils,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Façon dont ils refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Façon dont ils refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
features l1,abstract,,fr,,,non,"Features l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
features l1 french,abstract,,en,,,non,"Features l1 french is a concept used in the fields of linguistics, translation, or education."
feeling pleasure,abstract,,en,,,non,"Feeling pleasure is a concept used in the fields of linguistics, translation, or education."
feeling pleasure el,abstract,,en,,,non,"Feeling pleasure el is a concept used in the fields of linguistics, translation, or education."
fidèle que,abstract,,fr,"Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs","Fidèle que refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs.",oui,"Fidèle que refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs."
fidèle que les,abstract,,fr,"Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs","Fidèle que les refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs.",oui,"Fidèle que les refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs."
fields models,abstract,,fr,,,non,"Fields models est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
fields models shown,abstract,,en,,,non,"Fields models shown is a concept used in the fields of linguistics, translation, or education."
filière langues,abstract,,fr,,,non,"Filière langues est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
filière langues étrangères,abstract,,fr,,,non,"Filière langues étrangères est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
fin mot,abstract,,en,,,non,"Fin mot is a concept used in the fields of linguistics, translation, or education."
fin mot où,abstract,,en,,,non,"Fin mot où is a concept used in the fields of linguistics, translation, or education."
final consonants,abstract,,fr,"Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants","Final consonants refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants.",oui,"Final consonants refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants."
final consonants study,abstract,,en,,,non,"Final consonants study is a concept used in the fields of linguistics, translation, or education."
final does,abstract,,fr,,,non,"Final does est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
final does exist,abstract,,fr,,,non,"Final does exist est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
final en,abstract,,es,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Final en refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui,Final en refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.
final en anglais,abstract,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Final en anglais refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui,Final en anglais refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.
final morphemic,abstract,,en,This study investigates the progressive voice assimilation rule in word-final morphemic -s in l2 english,Final morphemic refers to This study investigates the progressive voice assimilation rule in word-final morphemic -s in l2 english.,oui,Final morphemic refers to This study investigates the progressive voice assimilation rule in word-final morphemic -s in l2 english.
final morphemic l2,abstract,,en,,,non,"Final morphemic l2 is a concept used in the fields of linguistics, translation, or education."
final position,abstract,,fr,"Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity","Final position refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity.",oui,"Final position refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity."
final position marked,abstract,,en,,,non,"Final position marked is a concept used in the fields of linguistics, translation, or education."
final position successful,abstract,,fr,,,non,"Final position successful est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
final presents,abstract,,fr,,,non,"Final presents est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
final presents results,abstract,,fr,,,non,"Final presents results est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
final sonorants,abstract,,fr,"Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels","Final sonorants refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels.",oui,"Final sonorants refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels."
final sonorants following,abstract,,en,"Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels","Final sonorants following refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels.",oui,"Final sonorants following refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels."
final word,abstract,,en,,,non,"Final word is a concept used in the fields of linguistics, translation, or education."
final word final,abstract,,en,,,non,"Final word final is a concept used in the fields of linguistics, translation, or education."
finale mot,abstract,,fr,,,non,"Finale mot est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
finale mot ne,abstract,,fr,,,non,"Finale mot ne est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
finale réussissent,abstract,,fr,,,non,"Finale réussissent est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
finale réussissent effectivement,abstract,,fr,,,non,"Finale réussissent effectivement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
finalidad evaluar,abstract,,es,,,non,"Finalidad evaluar es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
finalidad evaluar la,abstract,,es,,,non,"Finalidad evaluar la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
finally existence,abstract,,en,,,non,"Finally existence is a concept used in the fields of linguistics, translation, or education."
finally existence sounds,abstract,,en,,,non,"Finally existence sounds is a concept used in the fields of linguistics, translation, or education."
finally observed,abstract,,en,,,non,"Finally observed is a concept used in the fields of linguistics, translation, or education."
finally observed impact,abstract,,en,,,non,"Finally observed impact is a concept used in the fields of linguistics, translation, or education."
finding suggests,abstract,,fr,"This finding suggests that, in bondu so, [+atr] licenses sonorant moraicity","Finding suggests refers to This finding suggests that, in bondu so, [+atr] licenses sonorant moraicity.",oui,"Finding suggests refers to This finding suggests that, in bondu so, [+atr] licenses sonorant moraicity."
finding suggests bondu,abstract,,en,,,non,"Finding suggests bondu is a concept used in the fields of linguistics, translation, or education."
