term,source,definition,langue,auto_definition,definition_finale,valide_auto
expérimental et,abstract,,fr,"En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.","Expérimental et refers to En revanche, les limites observées soulèvent non seulement des réflexions méthodologiques liées au protocole expérimental et à sa passation, mais elles nous amènent également vers une nouvelle proposition de design expérimental.",oui
expérimental et sa,abstract,,fr,,"Expérimental et sa est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
expérimentales groupe,abstract,,fr,,"Expérimentales groupe est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
expérimentales groupe test,abstract,,fr,,"Expérimentales groupe test est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
expérimentation réalisée,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Expérimentation réalisée refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
expérimentation réalisée dans,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Expérimentation réalisée dans refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
extranjera en,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Extranjera en refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui
extranjera en el,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,Extranjera en el refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui
f0 et,abstract,,fr,Nous avons étudié notamment les valeurs de f0 et de durée à l’aide de l’algorithme de modélisation momel,F0 et refers to Nous avons étudié notamment les valeurs de f0 et de durée à l’aide de l’algorithme de modélisation momel.,oui
f0 et durée,abstract,,fr,,"F0 et durée est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
facilement que,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Facilement que refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui
facilement que les,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Facilement que les refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui
facilitate generation,abstract,,fr,,"Facilitate generation est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
facilitate generation linguistically,abstract,,fr,,"Facilitate generation linguistically est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
factors including,abstract,,en,"This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody","Factors including refers to This study provides evidence from five verb paradigms to show that the quality of a stem suffix, and its absence or presence, is determined by a combination of factors including [atr], sonorancy, and prosody.",oui
factors including atr,abstract,,en,,"Factors including atr is a concept used in the fields of linguistics, translation, or education.",non
famas argentinian,abstract,,en,,"Famas argentinian is a concept used in the fields of linguistics, translation, or education.",non
famas argentinian writer,abstract,,en,,"Famas argentinian writer is a concept used in the fields of linguistics, translation, or education.",non
famas del,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,Famas del refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui
famas del escritor,abstract,,es,En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar,Famas del escritor refers to En el presente estudio se muestran los resultados de un análisis comparativo de las traducciones al inglés y al francés de dos cuentos de la obra historias de cronopios y de famas del escritor argentino julio cortázar.,oui
famas écrivain,abstract,,fr,,"Famas écrivain est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
famas écrivain argentin,abstract,,fr,,"Famas écrivain argentin est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fases enseñanza,abstract,,es,,"Fases enseñanza es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
fases enseñanza aprendizaje,abstract,,es,,"Fases enseñanza aprendizaje es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
façon dont,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Façon dont refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
façon dont ils,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Façon dont ils refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
features l1,abstract,,fr,,"Features l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
features l1 french,abstract,,en,,"Features l1 french is a concept used in the fields of linguistics, translation, or education.",non
feeling pleasure,abstract,,en,,"Feeling pleasure is a concept used in the fields of linguistics, translation, or education.",non
feeling pleasure el,abstract,,en,,"Feeling pleasure el is a concept used in the fields of linguistics, translation, or education.",non
fidèle que,abstract,,fr,"Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs","Fidèle que refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs.",oui
fidèle que les,abstract,,fr,"Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs","Fidèle que les refers to Cependant, les hispanophones natifs reproduisent la règle de voisement de manière plus fidèle que les italophones natifs.",oui
fields models,abstract,,fr,,"Fields models est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fields models shown,abstract,,en,,"Fields models shown is a concept used in the fields of linguistics, translation, or education.",non
filière langues,abstract,,fr,,"Filière langues est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
filière langues étrangères,abstract,,fr,,"Filière langues étrangères est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fin mot,abstract,,en,,"Fin mot is a concept used in the fields of linguistics, translation, or education.",non
fin mot où,abstract,,en,,"Fin mot où is a concept used in the fields of linguistics, translation, or education.",non
final consonants,abstract,,fr,"Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants","Final consonants refers to Bondu so (dogon, mali) displays [atr] vowel harmony that interacts with root-final consonants.",oui
final consonants study,abstract,,en,,"Final consonants study is a concept used in the fields of linguistics, translation, or education.",non
final does,abstract,,fr,,"Final does est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
final does exist,abstract,,fr,,"Final does exist est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
final en,abstract,,es,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Final en refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui
final en anglais,abstract,,fr,Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2,Final en anglais refers to Cette étude examine la règle d'assimilation progressive de voisement du -s morphémique final en anglais l2.,oui
final morphemic,abstract,,en,This study investigates the progressive voice assimilation rule in word-final morphemic -s in l2 english,Final morphemic refers to This study investigates the progressive voice assimilation rule in word-final morphemic -s in l2 english.,oui
final morphemic l2,abstract,,en,,"Final morphemic l2 is a concept used in the fields of linguistics, translation, or education.",non
final position,abstract,,fr,"Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity","Final position refers to Given the different distributions and status of [s] and [z] in the participants’ l1s and based on slm (speech learning model) and mdh (markedness differential hypothesis), we hypothesized that l1 french learners and l1 italian learners would find it easier than l1 spanish learners to reproduce the outcome of the voice assimilation rule, but our predictions are only partially confirmed by the results: l1 french learners (who have /s/ and /z/ in their l1 as phonemes occurring in word-final position) are indeed the most successful in producing the expected patterns of periodicity.",oui
final position marked,abstract,,en,,"Final position marked is a concept used in the fields of linguistics, translation, or education.",non
final position successful,abstract,,fr,,"Final position successful est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
final presents,abstract,,fr,,"Final presents est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
final presents results,abstract,,fr,,"Final presents results est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
final sonorants,abstract,,fr,"Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels","Final sonorants refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels.",oui
final sonorants following,abstract,,en,"Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels","Final sonorants following refers to Preliminary phonetic results show that, on average, root-final sonorants following [+atr] vowels are longer than those following [−atr] vowels.",oui
final word,abstract,,en,,"Final word is a concept used in the fields of linguistics, translation, or education.",non
final word final,abstract,,en,,"Final word final is a concept used in the fields of linguistics, translation, or education.",non
finale mot,abstract,,fr,,"Finale mot est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
finale mot ne,abstract,,fr,,"Finale mot ne est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
finale réussissent,abstract,,fr,,"Finale réussissent est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
finale réussissent effectivement,abstract,,fr,,"Finale réussissent effectivement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
finalidad evaluar,abstract,,es,,"Finalidad evaluar es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
finalidad evaluar la,abstract,,es,,"Finalidad evaluar la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
finally existence,abstract,,en,,"Finally existence is a concept used in the fields of linguistics, translation, or education.",non
finally existence sounds,abstract,,en,,"Finally existence sounds is a concept used in the fields of linguistics, translation, or education.",non
finally observed,abstract,,en,,"Finally observed is a concept used in the fields of linguistics, translation, or education.",non
finally observed impact,abstract,,en,,"Finally observed impact is a concept used in the fields of linguistics, translation, or education.",non
finding suggests,abstract,,fr,"This finding suggests that, in bondu so, [+atr] licenses sonorant moraicity","Finding suggests refers to This finding suggests that, in bondu so, [+atr] licenses sonorant moraicity.",oui
finding suggests bondu,abstract,,en,,"Finding suggests bondu is a concept used in the fields of linguistics, translation, or education.",non
findings relation,abstract,,en,,"Findings relation is a concept used in the fields of linguistics, translation, or education.",non
findings relation markedness,abstract,,fr,,"Findings relation markedness est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fle équitablement,abstract,,fr,,"Fle équitablement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fle équitablement répartis,abstract,,fr,,"Fle équitablement répartis est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
focalisation au,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Focalisation au refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
focalisation au niveau,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Focalisation au niveau refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
focalisation dans,abstract,,fr,,"Focalisation dans est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
focalisation dans le,abstract,,fr,,"Focalisation dans le est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
focuses teaching,abstract,,en,,"Focuses teaching is a concept used in the fields of linguistics, translation, or education.",non
focuses teaching english,abstract,,en,,"Focuses teaching english is a concept used in the fields of linguistics, translation, or education.",non
followed translators,abstract,,en,,"Followed translators is a concept used in the fields of linguistics, translation, or education.",non
followed translators transmit,abstract,,en,,"Followed translators transmit is a concept used in the fields of linguistics, translation, or education.",non
following atr,abstract,,en,,"Following atr is a concept used in the fields of linguistics, translation, or education.",non
following atr vowels,abstract,,en,,"Following atr vowels is a concept used in the fields of linguistics, translation, or education.",non
following recent,abstract,,en,"Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.","Following recent refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.",oui
following recent trends,abstract,,en,"Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.","Following recent trends refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.",oui
follows van,abstract,,en,"This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts","Follows van refers to This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts.",oui
follows van leuven,abstract,,fr,"This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts","Follows van leuven refers to This analysis follows van leuven-zwart's model for the analysis of literary translations, with the aim of assessing the effectiveness of this rigurous method when applied to surrealist texts.",oui
foreign accent,abstract,,en,The role of prosody in foreign accent perception and intelligibility,Foreign accent refers to The role of prosody in foreign accent perception and intelligibility.,oui
foreign accent intelligibility,abstract,,fr,,"Foreign accent intelligibility est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
foreign language,abstract,,fr,It focuses on the teaching of english and spanish as a foreign language in the french university system,Foreign language refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
foreign language french,abstract,,en,,"Foreign language french is a concept used in the fields of linguistics, translation, or education.",non
foreign language native,abstract,,fr,,"Foreign language native est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
foreign language results,abstract,,en,,"Foreign language results is a concept used in the fields of linguistics, translation, or education.",non
foreign language teaching,abstract,,en,The first part presents a review of research on the role and place of affect in foreign language teaching and learning,Foreign language teaching refers to The first part presents a review of research on the role and place of affect in foreign language teaching and learning.,oui
forme et,abstract,,fr,"Les résultats montrent des tendances intonatives propres à chaque groupe de locuteurs, liées surtout à la forme et à l’ampleur de leurs mouvements tonals.","Forme et refers to Les résultats montrent des tendances intonatives propres à chaque groupe de locuteurs, liées surtout à la forme et à l’ampleur de leurs mouvements tonals.",oui
forme et ampleur,abstract,,fr,,"Forme et ampleur est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
fortement altérés,abstract,,fr,Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson,Fortement altérés refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.,oui
fortement altérés dans,abstract,,fr,Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson,Fortement altérés dans refers to Nous nous sommes intéressés à la prosodie qui est l'un des aspects souvent signalés comme étant fortement altérés dans la maladie de parkinson.,oui
framework phonetic,abstract,,en,,"Framework phonetic is a concept used in the fields of linguistics, translation, or education.",non
framework phonetic analysis,abstract,,en,,"Framework phonetic analysis is a concept used in the fields of linguistics, translation, or education.",non
france comme,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),France comme refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
france comme langue,abstract,,fr,La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1),France comme langue refers to La présente étude réalise une analyse phonétique exploratoire de la prosodie de l’interlangue (il) des apprenants d’anglais ayant l’espagnol du chili ou le français de france comme langue maternelle (l1).,oui
francia el,abstract,,fr,,"Francia el est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francia el término,abstract,,es,,"Francia el término es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
francophones espagnol,abstract,,fr,,"Francophones espagnol est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francophones espagnol et,abstract,,fr,,"Francophones espagnol et est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francophones et,abstract,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Francophones et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui
francophones et italophones,abstract,,fr,"En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs","Francophones et italophones refers to En nous appuyant sur les distributions et sur le statut phonologique de [s] et [z] dans les l1 des apprenants, ainsi que sur le slm (speech learning model) et la mdh (markedness differential hypothesis), nous avons émis l'hypothèse que les locuteurs francophones et italophones natifs seraient capables de reproduire la règle d'assimilation de voisement de l'anglais plus facilement que les apprenants hispanophones natifs.",oui
francophones natifs,abstract,,fr,"Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs","Francophones natifs refers to Nous avons analysé les données du corpus ipce-ipac de productions orales d'apprenants en mesurant la périodicité de toutes les réalisations du -s morphémique et nous avons comparé trois groupes de locuteurs : 15 francophones natifs, 15 italophones natifs et 10 hispanophones natifs.",oui
francophones natifs 15,abstract,,fr,,"Francophones natifs 15 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francophones natifs dont,abstract,,fr,,"Francophones natifs dont est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francés dos,abstract,,es,,"Francés dos es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
francés dos cuentos,abstract,,es,,"Francés dos cuentos es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
francés una,abstract,,fr,,"Francés una est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
francés una tendencia,abstract,,es,,"Francés una tendencia es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
français deux,abstract,,fr,,"Français deux est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français deux contes,abstract,,fr,,"Français deux contes est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français france,abstract,,fr,,"Français france est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français france comme,abstract,,fr,,"Français france comme est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français ou,abstract,,fr,Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol,Français ou refers to Cette thèse est une étude de l’interlangue prosodique des apprenants d’anglais dont la langue maternelle est le français ou l’espagnol.,oui
français ou espagnol,abstract,,fr,,"Français ou espagnol est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français une,abstract,,fr,,"Français une est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
français une tendance,abstract,,fr,,"Français une tendance est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
french consequences,abstract,,es,,"French consequences es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
french consequences macrostructural,abstract,,es,,"French consequences macrostructural es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
french l1,abstract,,en,Recordings were then used to create an accentedness rating survey which was answered by english l1 speakers and french l1 speakers,French l1 refers to Recordings were then used to create an accentedness rating survey which was answered by english l1 speakers and french l1 speakers.,oui
french l1 english,abstract,,en,,"French l1 english is a concept used in the fields of linguistics, translation, or education.",non
french l1 italian,abstract,,fr,,"French l1 italian est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
french l1 learners,abstract,,en,"Survey results show that english native speakers rate accentedness higher than french l1 speakers, and that french l1 speakers perceive a higher intelligibility of utterances produced by french l1 learners of english","French l1 learners refers to Survey results show that english native speakers rate accentedness higher than french l1 speakers, and that french l1 speakers perceive a higher intelligibility of utterances produced by french l1 learners of english.",oui
french l1 spanish,abstract,,en,,"French l1 spanish is a concept used in the fields of linguistics, translation, or education.",non
french l1 speakers,abstract,,en,Recordings were then used to create an accentedness rating survey which was answered by english l1 speakers and french l1 speakers,French l1 speakers refers to Recordings were then used to create an accentedness rating survey which was answered by english l1 speakers and french l1 speakers.,oui
french learners,abstract,,en,Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners,French learners refers to Contrastive analysis of interlanguage prosody of english as an l2: the case of l1-spanish and l1-french learners.,oui
french learners 15,abstract,,en,,"French learners 15 is a concept used in the fields of linguistics, translation, or education.",non
french learners l1,abstract,,en,,"French learners l1 is a concept used in the fields of linguistics, translation, or education.",non
french listeners,abstract,,fr,"Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.","French listeners refers to Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.",oui
french listeners rely,abstract,,en,"Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.","French listeners rely refers to Although l1 english listeners rely primarily on segmental cues for accent detection, french listeners rely more on prosodic cues, intonation particularly.",oui
french short,abstract,,en,,"French short is a concept used in the fields of linguistics, translation, or education.",non
french short stories,abstract,,en,,"French short stories is a concept used in the fields of linguistics, translation, or education.",non
french spanish,abstract,,en,,"French spanish is a concept used in the fields of linguistics, translation, or education.",non
french spanish organized,abstract,,en,,"French spanish organized is a concept used in the fields of linguistics, translation, or education.",non
french speakers,abstract,,en,"The present study is a theoretical and empirical study on foreign accent and intelligibility perception (munro, 2008) of l2 english utterances produced by l1 french speakers","French speakers refers to The present study is a theoretical and empirical study on foreign accent and intelligibility perception (munro, 2008) of l2 english utterances produced by l1 french speakers.",oui
french speakers small,abstract,,en,,"French speakers small is a concept used in the fields of linguistics, translation, or education.",non
french transferred,abstract,,en,,"French transferred is a concept used in the fields of linguistics, translation, or education.",non
french transferred learners,abstract,,en,,"French transferred learners is a concept used in the fields of linguistics, translation, or education.",non
french university,abstract,,en,It focuses on the teaching of english and spanish as a foreign language in the french university system,French university refers to It focuses on the teaching of english and spanish as a foreign language in the french university system.,oui
french university term,abstract,,en,,"French university term is a concept used in the fields of linguistics, translation, or education.",non
frente la,abstract,,es,,"Frente la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
frente la enseñanza,abstract,,es,,"Frente la enseñanza es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
function help,abstract,,en,,"Function help is a concept used in the fields of linguistics, translation, or education.",non
function help signal,abstract,,en,,"Function help signal is a concept used in the fields of linguistics, translation, or education.",non
function wan,abstract,,en,,"Function wan is a concept used in the fields of linguistics, translation, or education.",non
function wan competition,abstract,,en,,"Function wan competition is a concept used in the fields of linguistics, translation, or education.",non
future implementations,abstract,,fr,Future implementations of the workflow are possible in other speech analysis fields if models are shown to be effective.,Future implementations refers to Future implementations of the workflow are possible in other speech analysis fields if models are shown to be effective.,oui
future implementations workflow,abstract,,en,,"Future implementations workflow is a concept used in the fields of linguistics, translation, or education.",non
